timestamp,ip,eventType,status
2024-01-15 00:02:09,192.168.1.20,FAILED_LOGIN,FAILURE
2024-01-15 00:03:51,172.16.0.10,NORMAL,SUCCESS
2024-01-15 00:08:07,10.0.0.5,BRUTE_FORCE,DETECTED
2024-01-15 00:12:48,192.168.1.101,MALWARE_DETECTED,QUARANTINED
2024-01-15 00:13:23,170.85.6.30,SUSPICIOUS_SCAN,WARNING
2024-01-15 00:14:41,10.0.0.55,MALWARE_DETECTED,QUARANTINED
2024-01-15 00:19:33,192.168.1.10,FAILED_LOGIN,FAILURE
2024-01-15 00:22:27,10.0.0.55,BRUTE_FORCE,DETECTED
2024-01-15 00:25:14,203.0.113.42,BRUTE_FORCE,DETECTED
2024-01-15 00:30:03,23.44.192.86,SUSPICIOUS_SCAN,WARNING
2024-01-15 00:30:08,82.18.139.217,NORMAL,SUCCESS
2024-01-15 00:31:18,10.0.0.55,SUSPICIOUS_SCAN,WARNING
2024-01-15 00:32:02,172.16.0.99,FAILED_LOGIN,FAILURE
2024-01-15 00:33:35,192.168.1.10,MALWARE_DETECTED,QUARANTINED
2024-01-15 00:34:40,172.16.0.99,MALWARE_DETECTED,QUARANTINED
2024-01-15 00:37:40,172.16.0.5,NORMAL,SUCCESS
2024-01-15 00:39:34,192.168.1.30,BRUTE_FORCE,DETECTED
2024-01-15 00:39:59,166.102.249.218,FAILED_LOGIN,FAILURE
2024-01-15 00:43:31,172.16.0.10,BRUTE_FORCE,DETECTED
2024-01-15 00:44:19,192.168.1.20,FAILED_LOGIN,FAILURE
2024-01-15 00:48:02,192.168.1.20,NORMAL,SUCCESS
2024-01-15 00:50:58,10.0.0.25,BRUTE_FORCE,DETECTED
2024-01-15 00:55:40,10.0.0.15,FAILED_LOGIN,FAILURE
2024-01-15 00:56:30,192.168.1.30,FAILED_LOGIN,FAILURE
2024-01-15 00:56:50,192.168.1.20,FAILED_LOGIN,FAILURE
2024-01-15 01:01:20,10.0.0.15,MALWARE_DETECTED,QUARANTINED
2024-01-15 01:04:51,192.168.1.101,FAILED_LOGIN,FAILURE
2024-01-15 01:05:50,10.0.0.15,MALWARE_DETECTED,QUARANTINED
2024-01-15 01:07:57,10.0.0.5,MALWARE_DETECTED,QUARANTINED
2024-01-15 01:09:22,192.168.1.20,FAILED_LOGIN,FAILURE
2024-01-15 01:11:50,10.0.0.25,NORMAL,SUCCESS
2024-01-15 01:14:30,172.16.0.5,FAILED_LOGIN,FAILURE
2024-01-15 01:18:09,192.168.1.30,NORMAL,SUCCESS
2024-01-15 01:22:30,172.16.0.5,FAILED_LOGIN,FAILURE
2024-01-15 01:22:53,10.0.0.15,NORMAL,SUCCESS
2024-01-15 01:23:19,10.0.0.25,UNAUTHORIZED_ACCESS,BLOCKED
2024-01-15 01:24:03,10.0.0.15,UNAUTHORIZED_ACCESS,BLOCKED
2024-01-15 01:28:27,172.16.0.5,FAILED_LOGIN,FAILURE
2024-01-15 01:29:20,172.16.0.10,SUSPICIOUS_SCAN,WARNING
2024-01-15 01:32:46,45.33.32.156,BRUTE_FORCE,DETECTED
2024-01-15 01:33:10,10.0.0.55,BRUTE_FORCE,DETECTED
2024-01-15 01:37:26,10.0.0.15,FAILED_LOGIN,FAILURE
2024-01-15 01:42:00,203.0.113.42,UNAUTHORIZED_ACCESS,BLOCKED
2024-01-15 01:43:54,192.168.1.30,FAILED_LOGIN,FAILURE
2024-01-15 01:46:06,10.0.0.25,SUSPICIOUS_SCAN,WARNING
2024-01-15 01:47:34,172.16.0.99,MALWARE_DETECTED,QUARANTINED
2024-01-15 01:49:48,10.0.0.5,FAILED_LOGIN,FAILURE
2024-01-15 01:50:28,192.168.1.101,SUSPICIOUS_SCAN,WARNING
2024-01-15 01:54:57,203.0.113.42,FAILED_LOGIN,FAILURE
2024-01-15 01:57:22,10.0.0.25,BRUTE_FORCE,DETECTED
2024-01-15 01:57:31,10.0.0.5,SUSPICIOUS_SCAN,WARNING
2024-01-15 01:57:51,192.168.1.30,NORMAL,SUCCESS
2024-01-15 02:02:24,192.168.1.20,FAILED_LOGIN,FAILURE
2024-01-15 02:04:38,203.0.113.42,SUSPICIOUS_SCAN,WARNING
2024-01-15 02:09:38,192.168.1.10,NORMAL,SUCCESS
2024-01-15 02:10:57,172.16.0.5,NORMAL,SUCCESS
2024-01-15 02:11:50,45.33.32.156,FAILED_LOGIN,FAILURE
