timestamp,ip,eventType,status
2024-01-15 08:23:11,192.168.1.101,FAILED_LOGIN,FAILURE
2024-01-15 08:23:15,192.168.1.101,FAILED_LOGIN,FAILURE
2024-01-15 08:23:18,192.168.1.101,FAILED_LOGIN,FAILURE
2024-01-15 08:23:21,192.168.1.101,BRUTE_FORCE,DETECTED
2024-01-15 08:23:22,192.168.1.101,UNAUTHORIZED_ACCESS,BLOCKED
2024-01-15 09:10:05,10.0.0.55,MALWARE_DETECTED,QUARANTINED
2024-01-15 09:45:33,172.16.0.22,SUSPICIOUS_SCAN,WARNING
2024-01-15 10:00:01,10.0.0.55,MALWARE_DETECTED,QUARANTINED
2024-01-15 10:12:44,192.168.5.200,FAILED_LOGIN,FAILURE
2024-01-15 10:12:50,192.168.5.200,FAILED_LOGIN,FAILURE
2024-01-15 10:12:55,192.168.5.200,FAILED_LOGIN,FAILURE
2024-01-15 10:13:01,192.168.5.200,FAILED_LOGIN,FAILURE
2024-01-15 10:13:05,192.168.5.200,FAILED_LOGIN,FAILURE
2024-01-15 11:00:00,192.168.1.10,NORMAL,SUCCESS
2024-01-15 11:30:00,172.16.0.22,SUSPICIOUS_SCAN,WARNING
